code,name,details,priceCJ,pricePZ,imageUrl,offers
BR0203,BRILL. PALMOLIVE LIQUIDA 52ML,12 / 52 ML,379.14,31.59,https://i.postimg.cc/SKVkPm0h/BR0203.jpg,OFERTA
BT0728,SABRITAS SABRISURTIDO 35s,1 / 35 UNI,289.34,289.34,https://i.postimg.cc/rspkWHgw/BT0728.jpg,OFERTA
BT0842,SABRITONES PAPAS PICOSITA 90GR,28 / 90 GR,297.14,10.61,https://i.postimg.cc/fLHq9mRN/BT0842.jpg,OFERTA
BT0843,SABRITONES PAPA SAL 90GR,25 / 90 GR,297.14,11.89,https://i.postimg.cc/TPJ4TZ8p/BT0843.jpg,OFERTA
BT0845,SABRITONES REJITAS 60GR,18 / 60 GR,153.74,8.54,https://i.postimg.cc/pL8S6mqQ/BT0845.jpg,OFERTA
BT0699,ACT II PAL. RTE CHILE LIMON 50g,12 / 50 GR,142.32,11.86,https://i.postimg.cc/Pf6hhtrp/BT0699.jpg,DISPONIBLE
AB BT0850,PRINGLES PAPAS ORIGINAL,12 / 35 GR,172.31,14.36,https://i.postimg.cc/hjz6R6Gr/BT0850.jpg,OFERTA
AB BT0851,PRINGLES PAPAS CREMA CEBOLLA,12 / 37 GR,172.31,14.36,https://i.postimg.cc/G2WNLKB6/BT0851.jpg,OFERTA
AB BT0852,PRINGLES PAPAS QUESO NACHO,12 / 37 GR,172.31,14.36,https://i.postimg.cc/QN7w62wZ/BT0852.jpg,OFERTA
AB BT0854,PRINGLES PAPAS LA ADOBADA,12 / 37 GR,172.31,14.36,https://i.postimg.cc/wTcPzh9G/BT0854.jpg,OFERTA
CA0479,NESCAFE CAFE DE OLLA 46G,12 / 46 GR,384.83,32.07,https://i.postimg.cc/MHnLzJdV/CA0479.jpg,OFERTA
CA0673,NESCAFE CAPP. VAINILLA 22GR,6 / 6 UNI,356.87,59.48,https://i.postimg.cc/50W9Rz9T/CA0673.jpg,OFERTA
CA0674,NESCAFE CAPP. MOKA 22GR,6 / 6 UNI,385.42,64.24,https://i.postimg.cc/wTLpNDQJ/CA0674.jpg,OFERTA
CA0684,NESCAFE CAPPUCCINO MOKA STICK 22GR,6 / 6 UNI,332.26,55.38,https://i.postimg.cc/qvWfNvYG/CA0684.jpg,OFERTA
CA0403,NESCAFE CLASICO 200GR,12 / 200 GR,1803.8,150.32,https://i.postimg.cc/KjCHzpHV/CA0403.jpg,OFERTA
CA0484,NESCAFE CLASICO 42G,16 / 42 GR,673.89,42.12,https://i.postimg.cc/NfrnVYyw/CA0484.jpg,OFERTA
CA0561,NESCAFE CLASICO STICK 14G,6 / 16 UNI,1307.53,217.92,https://i.postimg.cc/qR5mbZ4R/CA0561.jpg,OFERTA
